id,address,categories,city,country,keys,latitude,longitude,name,postalCode,province
AWquSqkAZ4Yw-wtde3x2,8335 Elk Grove Florin Road,"Chicken,Fast Food,Restaurants",Sacramento,US,us/ca/sacramento/8335elkgroveflorinroad/106088,38.4551,-121.3712,KFC,95829,CA
AVwdJQkyIN2L1WUfsqMK,4211 Sierra College Blvd,"Ice Cream Parlors,Breakfast,Fast Food Restaurants,Take Out Restaurants,Fast Food,Restaurants,Frozen Yogurt Shops,Restaurant,Fast Food Restaurant,Coffeehouses,Salads,Hamburgers and Hot Dogs,Hamburgers,Sandwich Shops",Rocklin,US,us/ca/rocklin/4211sierracollegeblvd/-1161002137,38.8072,-121.2049,McDonald's,95677,CA
AVwdcjt-IN2L1WUfv6Lv,7329 Fair Oaks Blvd,"Ice Cream Parlors,Carry-out food,Breakfast,Hot dog restaurants,Hamburger restaurants,Fast Food Restaurants,Take Out Restaurants,Fast Food,Restaurants,Frozen Yogurt Shops,Restaurant,Fast Food Restaurant,Coffeehouses,Salads,Hamburgers and Hot Dogs,Hamburgers,Sandwich Shops",Carmichael,US,us/ca/carmichael/7329fairoaksblvd/-1161002137,38.6345,-121.3287,McDonald's,95608,CA
AWmfwnyYIxWefVJwMTIr,2751 Hillcrest Avenue,"Fast Food,Chicken,Restaurants",Antioch,US,us/ca/antioch/2751hillcrestavenue/106088,37.9927,-121.7835,KFC,94509,CA
AVwcfZC_ByjofQCxe0Ow,14152 Newport Ave,"Pizza,Restaurant,American,Food Delivery,Fast Food,Pizza Place,Restaurants",Tustin,US,us/ca/tustin/14152newportave/-1055723171,33.7362,-117.8236,Domino's Pizza,92780,CA
AVweQLaVkufWRAb5BUjy,1288 Broadway,"Ice Cream Parlors,Carry-out food,Breakfast,Hot dog restaurants,American,Burgers,Hamburger restaurants,Fast Food,Restaurants,Restaurant,Fast Food Restaurant,Coffeehouses,Salads,Fast food restaurants,Hamburgers,Sandwich Shops",Chula Vista,US,us/ca/chulavista/1288broadway/-1161002137,32.6037,-117.0793,McDonald's,91911,CA
AV1Tq9MDFcQ3k02bFdT6,7049 Eastman Street,"Restaurant,American,Fast Food,Chicken,Restaurants",San Diego,US,us/ca/sandiego/7049eastmanstreet/106088,32.7893,-117.1685,KFC,92111,CA
AV1Tq9KV3D1zeR_xE_oU,4545 El Cajon Blvd,"Restaurant,Fast Food,Restaurants",San Diego,US,us/ca/sandiego/4545elcajonblvd/1056997693,32.7551,-117.0968,KFC Kentucky Fried Chicken,92115,CA
AVwef2W3IN2L1WUf5ff2,3090 Countryside Dr,"Mexican Restaurant,Restaurant,Take Out,Mexican Restaurants,Mexican,Taco Place,Take Out Restaurants,Fast Food Restaurants,Mexican Restaurant, Burrito Place, and Taco Place,Burrito Place,Restaurants,Mexican Foods",Turlock,US,us/ca/turlock/3090countrysidedr/1143321601,37.5206,-120.8809,Chipotle Mexican Grill,95380,CA
AVwdd31ekufWRAb56Me4,606 E F St,"Restaurant,Burger Joint,Breakfast,Fast Food,Chicken,Hamburgers,Restaurants",Oakdale,US,us/ca/oakdale/606efst/-230519289,37.7681,-120.8444,Jack in the Box,95361,CA
